OBJECTID,FIPS,STATE_NAME,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_CITY,HQ_ZIP_CODE,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,Y,X
757,12059.0,Florida,Doctors Memorial Hospital,Critical Access Hospital,2600 Hospital Dr,Bonifay,32425,20.0,20.0,3,3,0.0,0.46917808,0,2.0,30.76,-85.68
758,12061.0,Florida,Cleveland Clinic Indian River Hospital (FKA Indian River Medical Center),Short Term Acute Care Hospital,1000 36th St,Vero Beach,32960,332.0,310.0,24,24,0.0,0.4897393,22,7.0,27.66,-80.39
759,12061.0,Florida,Sebastian River Medical Center,Short Term Acute Care Hospital,13695 Us Highway 1,Sebastian,32958,154.0,121.0,16,16,0.0,0.46987432,33,4.0,27.84,-80.49
760,12063.0,Florida,Jackson Hospital,Short Term Acute Care Hospital,4250 Hospital Dr,Marianna,32446,100.0,66.0,7,7,0.0,0.51793277,34,3.0,30.79,-85.24
761,12119.0,Florida,UF Health the Villages Hospital (FKA the Villages Regional Hospital),Short Term Acute Care Hospital,1451 El Camino Real,The Villages,32159,307.0,277.0,56,56,0.0,0.58347261,30,8.0,28.95,-81.96
762,12069.0,Florida,UF Health Leesburg Hospital (FKA Leesburg Regional Medical Center),Short Term Acute Care Hospital,600 E Dixie Ave,Leesburg,34748,332.0,308.0,46,46,0.0,0.59330189,24,7.0,28.81,-81.87
763,12069.0,Florida,AdventHealth Waterman (FKA Florida Hospital Waterman),Short Term Acute Care Hospital,1000 Waterman Way,Tavares,32778,303.0,269.0,47,47,0.0,0.6512298000000001,34,6.0,28.82,-81.71
764,12069.0,Florida,Orlando Health South Lake Hospital,Short Term Acute Care Hospital,1900 Don Wickham Dr,Clermont,34711,170.0,140.0,16,16,0.0,0.80835617,30,6.0,28.55,-81.72
765,12071.0,Florida,Lehigh Regional Medical Center,Short Term Acute Care Hospital,1500 Lee Blvd,Lehigh Acres,33936,88.0,78.0,8,8,0.0,0.33196348,10,4.0,26.62,-81.66
766,12071.0,Florida,Lee Memorial Hospital,Short Term Acute Care Hospital,2776 Cleveland Ave,Fort Myers,33901,414.0,355.0,75,75,129.0,0.65379524,59,40.0,26.63,-81.87
767,12071.0,Florida,Gulf Coast Medical Center,Short Term Acute Care Hospital,13681 Doctors Way,Fort Myers,33912,647.0,356.0,36,36,0.0,0.79649067,291,23.0,26.54,-81.85
768,12071.0,Florida,Cape Coral Hospital,Short Term Acute Care Hospital,636 Del Prado Blvd,Cape Coral,33990,291.0,280.0,22,22,23.0,0.65033269,11,21.0,26.64,-81.94
769,12073.0,Florida,Capital Regional Medical Center,Short Term Acute Care Hospital,2626 Capital Medical Blvd,Tallahassee,32308,266.0,266.0,20,20,0.0,0.65388817,0,7.0,30.48,-84.23
770,12073.0,Florida,Tallahassee Memorial HealthCare,Short Term Acute Care Hospital,1300 Miccosukee Rd,Tallahassee,32308,772.0,386.0,30,30,30.0,0.87143159,386,25.0,30.46,-84.26
771,12081.0,Florida,Blake Medical Center,Short Term Acute Care Hospital,2020 59th St W,Bradenton,34209,383.0,355.0,43,43,0.0,0.5793528,28,8.0,27.48,-82.62
772,12081.0,Florida,Manatee Memorial Hospital,Short Term Acute Care Hospital,206 2nd St E,Bradenton,34208,295.0,295.0,35,35,6.0,0.7164337,0,8.0,27.5,-82.56
773,12081.0,Florida,Lakewood Ranch Medical Center,Short Term Acute Care Hospital,8330 Lakewood Ranch Blvd,Bradenton,34202,120.0,120.0,20,20,0.0,0.5319863,0,5.0,27.39,-82.44
774,12083.0,Florida,AdventHealth Ocala (FKA Florida Hospital Ocala),Short Term Acute Care Hospital,1500 Sw 1st Ave,Ocala,34471,425.0,413.0,44,44,0.0,0.54563051,12,10.0,29.18,-82.14
775,12083.0,Florida,Ocala Regional Medical Center,Short Term Acute Care Hospital,1431 SW 1st Ave,Ocala,34471,256.0,200.0,66,66,0.0,0.93044978,56,16.0,29.18,-82.14
776,12085.0,Florida,Cleveland Clinic Martin North Hospital (FKA Martin Medical Center),Short Term Acute Care Hospital,200 Se Hospital Ave,Stuart,34994,244.0,244.0,66,66,0.0,0.60830331,0,17.0,27.2,-80.24
777,12086.0,Florida,Mount Sinai Medical Center (FL),Short Term Acute Care Hospital,4300 Alton Rd,Miami Beach,33140,672.0,473.0,72,72,0.0,0.563034,199,16.0,25.81,-80.14
778,12086.0,Florida,Larkin Community Hospital - Palm Springs Campus (FKA Palm Springs General Hospital),Short Term Acute Care Hospital,1475 W 49th Pl,Hialeah,33012,247.0,119.0,14,14,0.0,0.43132818,128,4.0,25.87,-80.31
779,12086.0,Florida,North Shore Medical Center,Short Term Acute Care Hospital,1100 Nw 95th St,Miami,33150,337.0,305.0,58,58,18.0,0.3849425,32,14.0,25.86,-80.21
780,12086.0,Florida,Jackson Memorial Hospital,Short Term Acute Care Hospital,1611 Nw 12th Ave,Miami,33136,1493.0,1457.0,91,91,97.0,0.70152783,36,24.0,25.79,-80.21
781,12086.0,Florida,Baptist Hospital,Short Term Acute Care Hospital,8900 N Kendall Dr,Miami,33176,728.0,705.0,40,40,36.0,0.68539393,23,20.0,25.68,-80.34
782,12086.0,Florida,Hialeah Hospital,Short Term Acute Care Hospital,651 E 25th St,Hialeah,33013,366.0,362.0,21,21,10.0,0.36901537,4,9.0,25.85,-80.27
783,12086.0,Florida,Sylvester Comprehensive Cancer Center,Short Term Acute Care Hospital,1475 Nw 12th Ave,Miami,33136,40.0,524.0,47,47,0.0,0.57945204,-484,8.0,25.79,-80.21
784,12086.0,Florida,Kendall Regional Medical Center,Short Term Acute Care Hospital,11750 SW 40th St,Miami,33175,417.0,394.0,52,52,20.0,0.73431611,23,15.0,25.73,-80.39
785,12086.0,Florida,Larkin Community Hospital - South Miami Campus,Short Term Acute Care Hospital,7031 Sw 62nd Ave,South Miami,33143,146.0,111.0,8,8,0.0,0.63112426,35,2.0,25.71,-80.29
786,12086.0,Florida,Coral Gables Hospital,Short Term Acute Care Hospital,3100 S Douglas Rd,Coral Gables,33134,245.0,245.0,16,16,0.0,0.32755941,0,6.0,25.74,-80.25
787,12086.0,Florida,Palmetto General Hospital,Short Term Acute Care Hospital,2001 W 68th St,Hialeah,33016,368.0,367.0,57,57,15.0,0.55979913,1,14.0,25.89,-80.33
788,12086.0,Florida,Homestead Hospital,Short Term Acute Care Hospital,975 Baptist Way,Homestead,33033,147.0,142.0,16,16,0.0,0.61082387,5,5.0,25.48,-80.43
789,12086.0,Florida,South Miami Hospital,Short Term Acute Care Hospital,6200 Sw 73rd St,Miami,33143,436.0,436.0,28,28,62.0,0.45864019,0,12.0,25.7,-80.29
790,12086.0,Florida,Aventura Hospital and Medical Center,Short Term Acute Care Hospital,20900 Biscayne Blvd,Aventura,33180,407.0,351.0,77,77,0.0,0.7277602,56,12.0,25.97,-80.15
791,12086.0,Florida,Doctors Hospital,Short Term Acute Care Hospital,5000 University Dr,Coral Gables,33146,281.0,281.0,12,12,0.0,0.24087164,0,4.0,25.72,-80.27
792,12086.0,Florida,Miami VA Healthcare System - Bruce W Carter VA Medical Center,VA Hospital,1201 Nw 16th St,Miami,33125,243.0,243.0,1,1,,,0,2.0,25.79,-80.22
793,12086.0,Florida,Westchester General Hospital,Short Term Acute Care Hospital,2500 Sw 75th Ave,Miami,33155,125.0,125.0,8,8,0.0,0.42650265,0,2.0,25.75,-80.32
794,12086.0,Florida,Douglas Gardens Hospital (AKA Miami Jewish Health Systems),Short Term Acute Care Hospital,5200 Ne 2nd Ave,Miami,33137,32.0,32.0,6,6,0.0,0.12559931,0,0.0,25.82,-80.19
795,12087.0,Florida,Lower Keys Medical Center,Short Term Acute Care Hospital,5900 College Rd,Key West,33040,118.0,99.0,9,9,0.0,0.27834511,19,2.0,24.58,-81.74
796,12087.0,Florida,Mariners Hospital,Critical Access Hospital,91500 Overseas Hwy,Tavernier,33070,25.0,25.0,4,4,0.0,0.18893151,0,2.0,25.01,-80.52
797,12087.0,Florida,Fishermens Community Hospital,Critical Access Hospital,3301 Overseas Hwy,Marathon,33050,4.0,5.0,1,1,0.0,0.017534247,-1,2.0,24.71,-81.09
798,12089.0,Florida,Baptist Medical Center Nassau,Short Term Acute Care Hospital,1250 S 18th St,Fernandina Beach,32034,62.0,54.0,9,9,0.0,0.59274483,8,3.0,30.65,-81.45
799,12091.0,Florida,North Okaloosa Medical Center,Short Term Acute Care Hospital,151 E Redstone Ave,Crestview,32539,110.0,110.0,20,20,0.0,0.50485677,0,4.0,30.74,-86.56
800,12091.0,Florida,Fort Walton Beach Medical Center,Short Term Acute Care Hospital,1000 Mar Walt Dr,Fort Walton Beach,32547,237.0,189.0,23,23,10.0,0.85844749,48,9.0,30.45,-86.63
801,12091.0,Florida,Twin Cities Hospital,Short Term Acute Care Hospital,2190 Highway 85 N,Niceville,32578,65.0,65.0,8,8,0.0,0.35839832,0,2.0,30.53,-86.5
802,12093.0,Florida,Raulerson Hospital,Short Term Acute Care Hospital,1796 US Highway 441 N,Okeechobee,34972,100.0,100.0,8,8,0.0,0.47471234,0,3.0,27.26,-80.83
803,12095.0,Florida,Orlando Health Orlando Regional Medical Center,Short Term Acute Care Hospital,52 W Underwood St,Orlando,32806,898.0,808.0,71,71,159.0,0.69957447,90,21.0,28.53,-81.38
804,12095.0,Florida,AdventHealth Orlando (FKA Florida Hospital Orlando),Short Term Acute Care Hospital,601 E Rollins St,Orlando,32803,1364.0,2753.0,221,221,118.0,0.63535672,-1389,30.0,28.57,-81.37
805,12095.0,Florida,Orlando Health - Health Central Hospital,Short Term Acute Care Hospital,10000 W Colonial Dr,Ocoee,34761,216.0,211.0,14,14,0.0,0.67009026,5,4.0,28.55,-81.53
806,12097.0,Florida,Osceola Regional Medical Center,Short Term Acute Care Hospital,700 W Oak St,Kissimmee,34741,404.0,351.0,52,52,24.0,0.81106722,53,9.0,28.3,-81.41
807,12097.0,Florida,St Cloud Regional Medical Center,Short Term Acute Care Hospital,2906 17th St,Saint Cloud,34769,84.0,84.0,8,8,0.0,0.51852578,0,3.0,28.24,-81.3
808,12099.0,Florida,Delray Medical Center,Short Term Acute Care Hospital,5352 Linton Blvd,Delray Beach,33484,536.0,356.0,52,52,0.0,0.60300148,180,16.0,26.44,-80.13
809,12099.0,Florida,West Palm Beach VA Medical Center,VA Hospital,7305 N Military Trl,West Palm Beach,33410,152.0,152.0,2,2,,,0,2.0,26.83,-80.11
810,12099.0,Florida,Good Samaritan Medical Center,Short Term Acute Care Hospital,1309 N Flagler Dr,West Palm Beach,33401,333.0,333.0,22,22,7.0,0.37287423,0,6.0,26.72,-80.05
811,12099.0,Florida,St Marys Medical Center,Short Term Acute Care Hospital,901 45th St,West Palm Beach,33407,460.0,370.0,26,26,45.0,0.60432434,90,9.0,26.76,-80.06
812,12099.0,Florida,Wellington Regional Medical Center,Short Term Acute Care Hospital,10101 Forest Hill Blvd,Wellington,33414,235.0,233.0,16,16,25.0,0.6133455,2,7.0,26.65,-80.21
813,12099.0,Florida,West Boca Medical Center,Short Term Acute Care Hospital,21644 State Road 7,Boca Raton,33428,195.0,194.0,16,16,39.0,0.50645387,1,4.0,26.35,-80.2
814,12099.0,Florida,Palms West Hospital,Short Term Acute Care Hospital,13001 Southern Blvd,Loxahatchee,33470,204.0,204.0,18,18,10.0,0.70795059,0,4.0,26.68,-80.25
815,12099.0,Florida,Lakeside Medical Center,Short Term Acute Care Hospital,39200 Hooker Hwy,Belle Glade,33430,70.0,54.0,6,6,0.0,0.37158802,16,2.0,26.72,-80.67
816,12099.0,Florida,Boca Raton Regional Hospital,Short Term Acute Care Hospital,800 Meadows Rd,Boca Raton,33486,400.0,370.0,41,41,10.0,0.6334765,30,15.0,26.36,-80.1
817,12099.0,Florida,Palm Beach Gardens Medical Center,Short Term Acute Care Hospital,3360 Burns Rd,Palm Beach Gardens,33410,199.0,199.0,44,44,0.0,0.65431267,0,6.0,26.83,-80.09
818,12099.0,Florida,Jupiter Medical Center,Short Term Acute Care Hospital,1210 S Old Dixie Hwy,Jupiter,33458,242.0,207.0,17,17,0.0,0.57235128,35,4.0,26.92,-80.1
819,12099.0,Florida,JFK Medical Center North Campus (FKA West Palm Hospital),Short Term Acute Care Hospital,2201 45th St,West Palm Beach,33407,245.0,168.0,20,20,0.0,0.38714287,77,3.0,26.76,-80.09
820,12099.0,Florida,Bethesda Hospital East (FKA Bethesda Memorial Hospital),Short Term Acute Care Hospital,2815 S Seacrest Blvd,Boynton Beach,33435,401.0,431.0,40,40,0.0,0.61362928,-30,14.0,26.5,-80.07
821,12099.0,Florida,JFK Medical Center,Short Term Acute Care Hospital,5301 S Congress Ave,Atlantis,33462,558.0,486.0,72,72,0.0,0.63107806,72,16.0,26.6,-80.09
822,12101.0,Florida,AdventHealth Zephyrhills (FKA Florida Hospital Zephyrhills),Short Term Acute Care Hospital,7050 Gall Blvd,Zephyrhills,33541,149.0,149.0,14,14,0.0,0.60417396,0,3.0,28.26,-82.19
823,12101.0,Florida,Morton Plant North Bay Hospital,Short Term Acute Care Hospital,6600 Madison St,New Port Richey,34652,150.0,187.0,22,22,0.0,0.78039706,-37,4.0,28.25,-82.71
824,12101.0,Florida,Medical Center of Trinity (FKA Community Hospital),Short Term Acute Care Hospital,9330 State Road 54,Trinity,34655,278.0,245.0,34,34,12.0,0.67035842,33,6.0,28.2,-82.66
825,12101.0,Florida,AdventHealth Dade City (FKA Florida Hospital Dade City),Short Term Acute Care Hospital,13100 Fort King Rd,Dade City,33525,120.0,120.0,12,12,0.0,0.15733151,0,2.0,28.35,-82.2
826,12101.0,Florida,Regional Medical Center Bayonet Point,Short Term Acute Care Hospital,14000 Fivay Rd,Hudson,34667,290.0,290.0,20,20,0.0,0.69998109,0,9.0,28.36,-82.69
827,12103.0,Florida,Mease Countryside Hospital,Short Term Acute Care Hospital,3231 Mcmullen Booth Rd,Safety Harbor,34695,311.0,311.0,26,26,10.0,0.6409902,0,7.0,28.04,-82.71
828,12103.0,Florida,Northside Hospital,Short Term Acute Care Hospital,6000 49th St N,St Petersburg,33709,288.0,221.0,32,32,0.0,0.56135035,67,10.0,27.83,-82.7
829,12103.0,Florida,Largo Medical Center,Short Term Acute Care Hospital,201 14th St Sw,Largo,33770,286.0,250.0,22,22,0.0,0.67023945,36,10.0,27.92,-82.8
830,12103.0,Florida,St Petersburg General Hospital,Short Term Acute Care Hospital,6500 38th Ave N,Kenneth City,33710,215.0,168.0,21,21,0.0,0.37514678,47,4.0,27.82,-82.72
831,12103.0,Florida,Palms of Pasadena Hospital,Short Term Acute Care Hospital,1501 Pasadena Ave S,South Pasadena,33707,307.0,167.0,18,18,0.0,0.44235912,140,4.0,27.75,-82.74
832,12103.0,Florida,Morton Plant Hospital,Short Term Acute Care Hospital,300 Pinellas St,Clearwater,33756,599.0,590.0,38,38,15.0,0.5561225999999999,9,10.0,27.95,-82.8
833,12103.0,Florida,St Anthonys Hospital,Short Term Acute Care Hospital,1200 7th Ave N,St Petersburg,33705,393.0,308.0,18,18,0.0,0.77524459,85,8.0,27.78,-82.65
834,12103.0,Florida,AdventHealth North Pinellas (FKA Florida Hospital North Pinellas),Short Term Acute Care Hospital,1395 S Pinellas Ave,Tarpon Springs,34689,168.0,136.0,13,13,0.0,0.41933924,32,2.0,28.13,-82.76
835,12103.0,Florida,Bay Pines VA Healthcare System - CW Bill Young VA Medical Center,VA Hospital,10000 Bay Pines Blvd,Bay Pines,33744,186.0,186.0,3,3,,,0,2.0,27.81,-82.78
836,12103.0,Florida,Bayfront Health - St Petersburg (FKA Bayfront Medical Center),Short Term Acute Care Hospital,701 6th St S,St Petersburg,33701,480.0,337.0,34,34,0.0,0.49392873,143,7.0,27.76,-82.64
837,12103.0,Florida,Mease Dunedin Hospital,Short Term Acute Care Hospital,601 Main St,Dunedin,34698,120.0,112.0,20,20,0.0,0.70883071,8,3.0,28.01,-82.78
838,12105.0,Florida,AdventHealth Lake Wales (FKA Lake Wales Medical Center),Short Term Acute Care Hospital,410 S 11th St,Lake Wales,33853,160.0,93.0,8,8,0.0,0.35703599,67,3.0,27.9,-81.57
839,12105.0,Florida,Winter Haven Hospital - Baycare,Short Term Acute Care Hospital,200 Avenue F Ne,Winter Haven,33881,447.0,458.0,44,44,15.0,0.48371705,-11,10.0,28.03,-81.72
840,12105.0,Florida,AdventHealth Heart of Florida (FKA Heart of Florida Regional Medical Center),Short Term Acute Care Hospital,40100 Highway 27,Davenport,33837,193.0,193.0,15,15,0.0,0.52009368,0,3.0,28.18,-81.64
841,12105.0,Florida,Bartow Regional Medical Center,Short Term Acute Care Hospital,2200 Osprey Blvd,Bartow,33830,72.0,72.0,6,6,0.0,0.43687215,0,2.0,27.92,-81.84
842,12105.0,Florida,Lakeland Regional Health Medical Center,Short Term Acute Care Hospital,1324 Lakeland Hills Blvd,Lakeland,33805,864.0,764.0,72,72,30.0,0.62716776,100,23.0,28.06,-81.95
843,12107.0,Florida,Putnam Community Medical Center,Short Term Acute Care Hospital,611 Zeagler Dr,Palatka,32177,99.0,99.0,10,10,0.0,0.61881834,0,5.0,29.64,-81.69
844,12109.0,Florida,Flagler Health (AKA Flagler Hospital),Short Term Acute Care Hospital,400 Health Park Blvd,St Augustine,32086,335.0,335.0,47,47,7.0,0.45500717,0,6.0,29.86,-81.32
845,12111.0,Florida,Lawnwood Regional Medical Center & Heart Institute,Short Term Acute Care Hospital,1700 S 23rd St,Fort Pierce,34950,392.0,312.0,36,36,6.0,0.81141084,80,12.0,27.43,-80.35
846,12111.0,Florida,St Lucie Medical Center,Short Term Acute Care Hospital,1800 SE Tiffany Ave,Port St Lucie,34952,229.0,207.0,18,18,0.0,0.66940641,22,6.0,27.29,-80.29
847,12113.0,Florida,Gulf Breeze Hospital,Short Term Acute Care Hospital,1110 Gulf Breeze Pkwy,Gulf Breeze,32561,77.0,65.0,8,8,0.0,0.57382506,12,2.0,30.36,-87.16
848,12113.0,Florida,Santa Rosa Medical Center,Short Term Acute Care Hospital,6002 Berryhill Rd,Milton,32570,129.0,108.0,8,8,0.0,0.36105478,21,3.0,30.63,-87.07
849,12113.0,Florida,Jay Hospital,Short Term Acute Care Hospital,14114 Alabama St,Jay,32565,49.0,21.0,4,4,0.0,0.40782779,28,1.0,30.95,-87.15
850,12115.0,Florida,Sarasota Memorial Hospital,Short Term Acute Care Hospital,1700 S Tamiami Trl,Sarasota,34239,839.0,673.0,62,62,33.0,0.58466375,166,16.0,27.32,-82.53
851,12115.0,Florida,Venice Regional Bayfront Health (FKA Venice Regional Medical Center),Short Term Acute Care Hospital,540 The Rialto,Venice,34285,312.0,229.0,32,32,0.0,0.41058803,83,6.0,27.09,-82.44
852,12115.0,Florida,Doctors Hospital of Sarasota,Short Term Acute Care Hospital,5731 Bee Ridge Rd,Sarasota,34233,155.0,139.0,16,16,0.0,0.58411354,16,5.0,27.3,-82.45
853,12115.0,Florida,Englewood Community Hospital,Short Term Acute Care Hospital,700 Medical Blvd,Englewood,34223,100.0,100.0,8,8,0.0,0.28545207,0,3.0,26.95,-82.33
854,12117.0,Florida,Central Florida Regional Hospital,Short Term Acute Care Hospital,1401 W Seminole Blvd,Sanford,32771,221.0,208.0,28,28,0.0,0.66369861,13,6.0,28.81,-81.28
855,12121.0,Florida,Shands Live Oak Regional Medical Center,Critical Access Hospital,1100 11th St Sw,Live Oak,32064,25.0,25.0,4,4,0.0,0.38805479,0,2.0,30.29,-83.0
856,12123.0,Florida,Doctors Memorial Hospital,Short Term Acute Care Hospital,333 N Byron Butler Pkwy,Perry,32347,48.0,48.0,6,6,0.0,0.10981735,0,2.0,30.12,-83.59
857,12127.0,Florida,AdventHealth Fish Memorial (FKA Florida Hospital Fish Memorial),Short Term Acute Care Hospital,1055 Saxon Blvd,Orange City,32763,179.0,179.0,21,21,0.0,0.65366191,0,4.0,28.91,-81.28
858,12127.0,Florida,AdventHealth Daytona Beach (FKA Florida Hospital Memorial Medical Center),Short Term Acute Care Hospital,301 Memorial Medical Pkwy,Daytona Beach,32117,362.0,277.0,46,46,16.0,0.72194105,85,7.0,29.24,-81.11
859,12127.0,Florida,AdventHealth DeLand (FKA Florida Hospital DeLand),Short Term Acute Care Hospital,701 W Plymouth Ave,Deland,32720,164.0,154.0,24,24,0.0,0.59371996,10,3.0,29.04,-81.32
860,12127.0,Florida,AdventHealth New Smyrna Beach (FKA Florida Hospital New Smyrna),Short Term Acute Care Hospital,401 Palmetto St,New Smyrna Beach,32168,109.0,112.0,14,14,0.0,0.60354698,-3,2.0,29.02,-80.92
861,12127.0,Florida,Halifax Health Medical Center of Daytona Beach,Short Term Acute Care Hospital,303 N Clyde Morris Blvd,Daytona Beach,32114,563.0,678.0,119,119,0.0,0.64360315,-115,14.0,29.2,-81.05
862,12131.0,Florida,Healthmark Regional Medical Center,Short Term Acute Care Hospital,4413 Us Highway 331 S,Defuniak Springs,32435,50.0,50.0,6,6,0.0,0.13375342,0,1.0,30.66,-86.12
863,12131.0,Florida,Ascension Sacred Heart Hospital on the Emerald Coast,Short Term Acute Care Hospital,7800 Us Highway 98 W,Miramar Beach,32550,86.0,62.0,22,22,0.0,0.58736193,24,3.0,30.38,-86.31
864,12133.0,Florida,Northwest Florida Community Hospital,Critical Access Hospital,1360 Brickyard Rd,Chipley,32428,59.0,25.0,4,4,0.0,0.58597261,34,2.0,30.77,-85.54
865,13001.0,Georgia,Appling HealthCare System (FKA Appling Hospital),Short Term Acute Care Hospital,163 E Tollison St,Baxley,31515,49.0,34.0,3,3,0.0,0.21047543,15,2.0,31.78,-82.35
866,13005.0,Georgia,Bacon County Hospital and Health System,Critical Access Hospital,302 S Wayne St,Alma,31510,25.0,25.0,4,4,0.0,0.51769865,0,1.0,31.54,-82.46
867,13009.0,Georgia,Navicent Health Baldwin (FKA Oconee Regional Medical Center),Short Term Acute Care Hospital,821 N Cobb St,Milledgeville,31061,140.0,98.0,12,12,0.0,0.27590159,42,2.0,33.09,-83.25
868,13013.0,Georgia,Northeast Georgia Medical Center Barrow,Short Term Acute Care Hospital,316 N Broad St,Winder,30680,56.0,56.0,6,6,0.0,0.18899217,0,2.0,34.01,-83.71
869,13015.0,Georgia,Cartersville Medical Center,Short Term Acute Care Hospital,960 Joe Frank Harris Pkwy SE,Cartersville,30120,119.0,119.0,21,21,0.0,0.75717741,0,5.0,34.2,-84.8
870,13017.0,Georgia,Dorminy Medical Center,Short Term Acute Care Hospital,200 Perry House Rd,Fitzgerald,31750,75.0,48.0,5,5,0.0,0.21832192,27,2.0,31.7,-83.26
871,13019.0,Georgia,South Georgia Medical Center Berrien Campus (FKA Berrien County Hospital),Short Term Acute Care Hospital,1221 E Mcpherson Ave,Nashville,31639,63.0,51.0,9,9,0.0,0.042761214000000006,12,1.0,31.2,-83.24
872,13021.0,Georgia,Coliseum Medical Centers,Short Term Acute Care Hospital,350 Hospital Dr,Macon,31217,310.0,179.0,28,28,13.0,0.81624991,131,8.0,32.85,-83.62
873,13021.0,Georgia,The Medical Center Navicent Health (FKA Medical Center of Central Georgia),Short Term Acute Care Hospital,777 Hemlock St,Macon,31201,637.0,594.0,77,77,64.0,0.77412945,43,11.0,32.83,-83.64
874,13021.0,Georgia,Coliseum Northside Hospital,Short Term Acute Care Hospital,400 Charter Blvd,Macon,31210,103.0,85.0,10,10,0.0,0.35252216,18,2.0,32.87,-83.69
875,13023.0,Georgia,Bleckley Memorial Hospital,Critical Access Hospital,145 E Peacock St,Cochran,31014,25.0,15.0,3,3,0.0,0.86246574,10,1.0,32.38,-83.35
876,13027.0,Georgia,Brooks County Hospital,Critical Access Hospital,903 N Court St,Quitman,31643,25.0,25.0,4,4,0.0,0.6220274,0,1.0,30.8,-83.56
877,13031.0,Georgia,East Georgia Regional Medical Center,Short Term Acute Care Hospital,1499 Fair Rd,Statesboro,30458,149.0,142.0,24,24,0.0,0.61647695,7,4.0,32.41,-81.77
878,13033.0,Georgia,Burke Medical Center,Short Term Acute Care Hospital,351 S Liberty St,Waynesboro,30830,40.0,40.0,7,7,0.0,0.070479453,0,1.0,33.08,-82.01
879,13035.0,Georgia,WellStar Sylvan Grove Hospital (FKA Sylvan Grove Hospital),Critical Access Hospital,1050 Mcdonough Rd,Jackson,30233,25.0,25.0,4,4,0.0,0.52208221,0,2.0,33.3,-83.98
880,13039.0,Georgia,Southeast Georgia Health System - Camden Campus,Short Term Acute Care Hospital,2000 Dan Proctor Dr,Saint Marys,31558,40.0,40.0,5,5,0.0,0.45486301,0,2.0,30.78,-81.62
881,13043.0,Georgia,Candler County Hospital,Critical Access Hospital,400 Cedar St,Metter,30439,25.0,25.0,6,6,0.0,0.3110137,0,2.0,32.41,-82.07
882,13045.0,Georgia,Tanner Medical Center - Carrollton,Short Term Acute Care Hospital,705 Dixie St,Carrollton,30117,181.0,157.0,22,22,0.0,0.70492387,24,8.0,33.57,-85.07
883,13045.0,Georgia,Tanner Medical Center - Villa Rica,Short Term Acute Care Hospital,601 Dallas Hwy,Villa Rica,30180,145.0,40.0,6,6,0.0,0.78924656,105,3.0,33.74,-84.92
884,13047.0,Georgia,CHI Memorial Hospital Georgia (FKA Cornerstone Medical Center),Short Term Acute Care Hospital,100 Gross Crescent Cir,Fort Oglethorpe,30742,179.0,36.0,6,6,0.0,0.10768645,143,2.0,34.95,-85.26
885,13051.0,Georgia,Candler Hospital,Short Term Acute Care Hospital,5353 Reynolds St,Savannah,31405,320.0,212.0,20,20,0.0,0.65938228,108,6.0,32.03,-81.1
886,13051.0,Georgia,Memorial Health University Medical Center,Short Term Acute Care Hospital,4700 Waters Ave,Savannah,31404,512.0,517.0,20,20,74.0,0.7712121,-5,13.0,32.03,-81.09
887,13051.0,Georgia,St Josephs Hospital,Short Term Acute Care Hospital,11705 Mercy Blvd,Savannah,31419,294.0,210.0,22,22,0.0,0.71849966,84,10.0,31.99,-81.15
888,13121.0,Georgia,Emory Johns Creek Hospital,Short Term Acute Care Hospital,6325 Hospital Pkwy,Johns Creek,30097,110.0,110.0,14,14,8.0,0.69149023,0,3.0,34.07,-84.18
889,13057.0,Georgia,Northside Hospital Cherokee,Short Term Acute Care Hospital,450 Northside Cherokee Blvd,Canton,30115,126.0,114.0,20,20,0.0,1.0,12,6.0,34.23,-84.46
890,13059.0,Georgia,St Marys Hospital,Short Term Acute Care Hospital,1230 Baxter St,Athens,30606,196.0,165.0,68,68,0.0,0.63267237,31,4.0,33.95,-83.41
891,13059.0,Georgia,Piedmont Athens Regional Medical Center (FKA Athens Regional Medical Center),Short Term Acute Care Hospital,1199 Prince Ave,Athens,30606,359.0,357.0,24,24,20.0,0.72859061,2,9.0,33.96,-83.4
892,13063.0,Georgia,Southern Regional Medical Center,Short Term Acute Care Hospital,11 Upper Riverdale Rd Sw,Riverdale,30274,331.0,244.0,34,34,0.0,0.48502132,87,6.0,33.58,-84.39
893,13065.0,Georgia,Clinch Memorial Hospital,Critical Access Hospital,1050 Valdosta Hwy,Homerville,31634,25.0,15.0,3,3,0.0,0.46794522,10,1.0,31.05,-82.75
894,13067.0,Georgia,WellStar Cobb Hospital,Short Term Acute Care Hospital,3950 Austell Rd,Austell,30106,382.0,367.0,34,34,25.0,0.6599828000000001,15,17.0,33.86,-84.61
895,13067.0,Georgia,WellStar Kennestone Hospital,Short Term Acute Care Hospital,677 Church St,Marietta,30060,633.0,633.0,55,55,24.0,0.81950241,0,47.0,33.97,-84.55
896,13069.0,Georgia,Coffee Regional Medical Center,Short Term Acute Care Hospital,1101 Ocilla Rd,Douglas,31533,88.0,86.0,10,10,0.0,0.52797067,2,3.0,31.51,-82.86
